FIPS Code,State,Area name,2013 Rural-urban Continuum Code,2013 Urban Influence Code,"Percent of adults with less than a high school diploma, 2013-17","Percent of adults with a high school diploma only, 2013-17","Percent of adults completing some college or associate's degree, 2013-17","Percent of adults with a bachelor's degree or higher, 2013-17"
0,US,United States,,,12.7,27.3,29.1,30.9
1000,AL,Alabama,,,14.7,30.9,29.9,24.5
1001,AL,Autauga County,2,2,12.3,33.6,29.1,25
1003,AL,Baldwin County,3,2,9.8,27.8,31.7,30.7
1005,AL,Barbour County,6,6,26.9,35.5,25.5,12
1007,AL,Bibb County,1,1,17.9,43.9,25,13.2
1009,AL,Blount County,1,1,20.2,32.3,34.4,13.1
1011,AL,Bullock County,6,6,28.6,36.6,21.4,13.4
1013,AL,Butler County,6,6,18.9,40.4,24.5,16.1
1015,AL,Calhoun County,3,2,16.8,32.2,33.1,17.9
1017,AL,Chambers County,6,5,19.1,38.4,29.1,13.3
1019,AL,Cherokee County,6,6,20.5,38.2,28.9,12.5
1021,AL,Chilton County,1,1,18.2,43.4,23.3,15.1
1023,AL,Choctaw County,9,10,19.9,39.9,28.6,11.6
1025,AL,Clarke County,7,11,18.5,44.3,24.2,13
1027,AL,Clay County,9,10,26.7,33.7,29.3,10.3
1029,AL,Cleburne County,8,4,24.2,37.4,26,12.4
1031,AL,Coffee County,4,5,14.6,29.3,33.4,22.7
1033,AL,Colbert County,3,2,16.1,33.7,31.4,18.8
1035,AL,Conecuh County,7,11,21,48,22.3,8.8
1037,AL,Coosa County,8,3,23.2,38.5,27.3,11
1039,AL,Covington County,6,6,18,35.6,31,15.5
1041,AL,Crenshaw County,8,6,20.7,37.8,25.2,16.3
1043,AL,Cullman County,4,3,17.9,35.9,31.3,14.9
1045,AL,Dale County,4,5,14,32.6,36.6,16.8
1047,AL,Dallas County,4,5,18.7,36.6,30.5,14.2
1049,AL,DeKalb County,6,6,26.4,34,26.6,13
1051,AL,Elmore County,2,2,13.6,34.1,29.5,22.8
1053,AL,Escambia County,6,6,19,43.8,25,12.1
1055,AL,Etowah County,3,2,16.9,32.5,33.7,16.9
1057,AL,Fayette County,6,6,20.4,37.9,27.1,14.6
1059,AL,Franklin County,6,6,23.6,37.5,25.5,13.4
1061,AL,Geneva County,3,2,21,35.7,32.2,11.1
1063,AL,Greene County,8,6,23.4,37,28.2,11.4
1065,AL,Hale County,3,2,18.9,42.7,23.9,14.4
1067,AL,Henry County,3,2,19.4,33.9,29.7,17.1
1069,AL,Houston County,3,2,14.7,31.9,32.5,20.9
1071,AL,Jackson County,6,5,18.6,40.7,27.3,13.4
1073,AL,Jefferson County,1,1,10.6,26.8,30.7,31.9
1075,AL,Lamar County,8,7,20.5,37.6,28.7,13.3
1077,AL,Lauderdale County,3,2,14.1,35.3,28.1,22.5
1079,AL,Lawrence County,3,2,22,40.8,27,10.2
1081,AL,Lee County,3,2,10.1,24.5,30.6,34.9
1083,AL,Limestone County,2,2,16.3,30.7,28.5,24.6
1085,AL,Lowndes County,2,2,24,36.1,26.1,13.7
1087,AL,Macon County,6,6,18.4,32.3,29.2,20.1
1089,AL,Madison County,2,2,9.2,21.1,29.2,40.6
1091,AL,Marengo County,7,11,16.8,39.6,28.1,15.4
1093,AL,Marion County,7,11,19.3,35.3,31.9,13.4
1095,AL,Marshall County,4,5,20,31.3,31,17.7
1097,AL,Mobile County,2,2,13.7,32.6,30.6,23
1099,AL,Monroe County,7,11,17,46.7,23.8,12.5
1101,AL,Montgomery County,2,2,14.3,25.6,27.8,32.3
1103,AL,Morgan County,3,2,17.5,29.9,31.8,20.9
1105,AL,Perry County,8,4,20,42,21.1,16.9
1107,AL,Pickens County,3,2,20.2,37.8,30.3,11.8
1109,AL,Pike County,6,5,18.9,33,23.3,24.7
1111,AL,Randolph County,6,4,21.4,36.7,27.3,14.6
1113,AL,Russell County,2,2,17.1,32.4,33.6,16.9
1115,AL,St. Clair County,1,1,15.8,36.2,32,16
1117,AL,Shelby County,1,1,7.9,20.9,28.9,42.2
1119,AL,Sumter County,8,6,17.3,39.7,24.7,18.2
1121,AL,Talladega County,4,3,19.5,35.1,31.8,13.6
1123,AL,Tallapoosa County,6,6,19.2,34,28.6,18.2
1125,AL,Tuscaloosa County,3,2,11.8,29.4,28.5,30.2
1127,AL,Walker County,1,1,20,37.3,31.6,11.1
1129,AL,Washington County,8,7,17.6,44.8,27,10.7
1131,AL,Wilcox County,9,10,20.9,43.2,23.9,12
1133,AL,Winston County,6,4,22.8,36.2,28.1,12.9
2000,AK,Alaska,,,7.6,27.6,35.8,29
2010,AK,Aleutian Islands,,,,,,
2013,AK,Aleutians East Borough,9,12,14.2,41.6,32.7,11.5
2016,AK,Aleutians West Census Area,9,11,11.7,39.1,33,16.2
2020,AK,Anchorage Municipality,2,2,6.6,23.8,35,34.6
2050,AK,Bethel Census Area,7,11,19.8,44.7,22.9,12.6
2060,AK,Bristol Bay Borough,9,12,7.4,34.9,37.4,20.3
2068,AK,Denali Borough,8,7,1.3,28.6,25.7,44.5
2070,AK,Dillingham Census Area,9,12,13.6,38.7,30.4,17.4
2090,AK,Fairbanks North Star Borough,3,2,5.4,21.7,39.8,33.1
2100,AK,Haines Borough,9,12,3.4,28.4,33.5,34.7
2105,AK,Hoonah-Angoon Census Area,9,10,9.7,37.3,31.1,21.9
2110,AK,Juneau City and Borough,5,8,4,20.5,35.2,40.3
