FIPS,State,Area_Name,Economic_typology_2015,POP_ESTIMATE_2017,Births_2017,Deaths_2017,INTERNATIONAL_MIG_2017,DOMESTIC_MIG_2017,NET_MIG_2017
0,US,United States,,"325,719,178","3,946,000","2,744,040","1,111,283",0,"1,111,283"
1000,AL,Alabama,,"4,874,747","58,389","52,390","4,475","3,840","8,315"
1001,AL,Autauga County,0,"55,504",664,510,15,58,73
1003,AL,Baldwin County,5,"212,628","2,325","2,090",164,"4,702","4,866"
1005,AL,Barbour County,3,"25,270",270,286,-3,-486,-489
1007,AL,Bibb County,0,"22,668",270,233,20,-20,0
1009,AL,Blount County,0,"58,013",685,653,62,359,421
1011,AL,Bullock County,3,"10,309",138,118,18,-170,-152
1013,AL,Butler County,0,"19,825",228,253,7,-121,-114
1015,AL,Calhoun County,4,"114,728","1,342","1,427",82,-247,-165
1017,AL,Chambers County,0,"33,713",384,468,17,65,82
1019,AL,Cherokee County,0,"25,857",244,338,7,178,185
1021,AL,Chilton County,0,"44,067",523,476,24,167,191
1023,AL,Choctaw County,3,"12,945",143,174,-2,-71,-73
1025,AL,Clarke County,3,"24,083",270,321,4,-221,-217
1027,AL,Clay County,3,"13,367",134,184,0,8,8
1029,AL,Cleburne County,0,"14,900",154,190,-5,68,63
1031,AL,Coffee County,0,"51,874",643,517,50,483,533
1033,AL,Colbert County,0,"54,500",618,684,3,238,241
1035,AL,Conecuh County,0,"12,469",148,166,2,-28,-26
1037,AL,Coosa County,3,"10,754",86,114,3,-28,-25
1039,AL,Covington County,0,"37,092",443,511,-3,-222,-225
1041,AL,Crenshaw County,3,"13,871",163,183,0,-16,-16
1043,AL,Cullman County,0,"82,755",991,"1,014",30,427,457
1045,AL,Dale County,3,"49,226",638,543,7,-101,-94
1047,AL,Dallas County,3,"39,215",492,552,-1,-807,-808
1049,AL,DeKalb County,3,"71,617",839,770,92,246,338
1051,AL,Elmore County,0,"81,677",889,803,36,319,355
1053,AL,Escambia County,0,"37,447",429,499,-1,44,43
1055,AL,Etowah County,0,"102,755","1,192","1,444",8,278,286
1057,AL,Fayette County,0,"16,468",165,230,0,-5,-5
1059,AL,Franklin County,3,"31,495",421,365,54,-191,-137
1061,AL,Geneva County,0,"26,421",279,359,-4,-9,-13
1063,AL,Greene County,0,"8,330",95,95,-1,-158,-159
1065,AL,Hale County,0,"14,812",187,195,-1,-24,-25
1067,AL,Henry County,0,"17,147",175,202,4,78,82
1069,AL,Houston County,0,"104,346","1,286","1,116",33,-25,8
1071,AL,Jackson County,3,"51,909",554,686,25,-29,-4
1073,AL,Jefferson County,0,"659,197","8,532","7,192",741,"-2,603","-1,862"
1075,AL,Lamar County,3,"13,946",155,189,3,29,32
1077,AL,Lauderdale County,0,"92,538",925,"1,128",14,412,426
1079,AL,Lawrence County,3,"33,049",366,403,-3,-144,-147
1081,AL,Lee County,4,"161,604","1,947","1,048",550,"1,166","1,716"
1083,AL,Limestone County,4,"94,402","1,020",772,92,"1,140","1,232"
1085,AL,Lowndes County,3,"10,076",120,147,-1,-137,-138
1087,AL,Macon County,4,"18,755",189,262,7,-250,-243
1089,AL,Madison County,4,"361,046","4,174","3,193",491,"3,265","3,756"
1091,AL,Marengo County,0,"19,375",237,271,7,-103,-96
1093,AL,Marion County,3,"29,833",300,388,1,1,2
1095,AL,Marshall County,3,"95,548","1,335","1,146",78,244,322
1097,AL,Mobile County,0,"413,955","5,475","4,481",493,"-2,378","-1,885"
1099,AL,Monroe County,3,"21,327",212,247,-2,-207,-209
1101,AL,Montgomery County,4,"226,646","3,038","2,158",356,"-1,301",-945
1103,AL,Morgan County,3,"118,818","1,398","1,280",97,-214,-117
1105,AL,Perry County,0,"9,339",126,129,1,-229,-228
1107,AL,Pickens County,0,"20,176",226,251,6,-119,-113
1109,AL,Pike County,4,"33,267",378,330,109,-104,5
1111,AL,Randolph County,0,"22,670",232,280,-8,230,222
1113,AL,Russell County,3,"57,045",821,642,-3,"-1,309","-1,312"
1115,AL,St. Clair County,0,"88,199","1,038",970,28,623,651
