FIPStxt,State,Area_Name,PCTPOV517_2017,MEDHHINC_2017
0,US,United States,17.3,"60,336"
1000,AL,Alabama,22.8,"48,193"
1001,AL,Autauga County,18.6,"58,343"
1003,AL,Baldwin County,14.3,"56,607"
1005,AL,Barbour County,48.8,"32,490"
1007,AL,Bibb County,26.8,"45,795"
1009,AL,Blount County,17.7,"48,253"
1011,AL,Bullock County,49,"29,113"
1013,AL,Butler County,31.8,"36,842"
1015,AL,Calhoun County,22.2,"45,937"
1017,AL,Chambers County,30.1,"36,883"
1019,AL,Cherokee County,23.3,"44,842"
1021,AL,Chilton County,21.5,"46,405"
1023,AL,Choctaw County,34.1,"36,711"
1025,AL,Clarke County,32.4,"36,719"
1027,AL,Clay County,24.2,"39,642"
1029,AL,Cleburne County,21.2,"45,480"
1031,AL,Coffee County,21.8,"51,998"
1033,AL,Colbert County,21.9,"46,100"
1035,AL,Conecuh County,41.6,"30,796"
1037,AL,Coosa County,26.3,"42,442"
1039,AL,Covington County,25.9,"39,093"
1041,AL,Crenshaw County,25.9,"38,419"
1043,AL,Cullman County,18.3,"45,925"
1045,AL,Dale County,24,"42,572"
1047,AL,Dallas County,39.4,"31,329"
1049,AL,DeKalb County,26.5,"39,906"
1051,AL,Elmore County,15.9,"59,652"
1053,AL,Escambia County,32.3,"37,870"
1055,AL,Etowah County,27.3,"41,791"
1057,AL,Fayette County,25.8,"39,394"
1059,AL,Franklin County,27.6,"41,025"
1061,AL,Geneva County,33.9,"38,561"
1063,AL,Greene County,47.8,"28,108"
1065,AL,Hale County,33.6,"34,905"
1067,AL,Henry County,25.8,"48,094"
1069,AL,Houston County,23.8,"44,753"
1071,AL,Jackson County,21.2,"42,658"
1073,AL,Jefferson County,20.8,"50,731"
1075,AL,Lamar County,24.4,"39,796"
1077,AL,Lauderdale County,17.4,"46,646"
1079,AL,Lawrence County,23.7,"42,912"
1081,AL,Lee County,19.1,"51,372"
1083,AL,Limestone County,15.5,"57,342"
1085,AL,Lowndes County,38.6,"33,130"
1087,AL,Macon County,42.5,"30,849"
1089,AL,Madison County,15.4,"62,750"
1091,AL,Marengo County,32,"37,469"
1093,AL,Marion County,25.8,"38,049"
1095,AL,Marshall County,30.5,"42,751"
1097,AL,Mobile County,29.5,"45,615"
1099,AL,Monroe County,31.8,"36,432"
1101,AL,Montgomery County,31.8,"45,833"
1103,AL,Morgan County,19,"49,274"
1105,AL,Perry County,49.9,"26,703"
1107,AL,Pickens County,30.3,"38,379"
1109,AL,Pike County,37,"40,680"
1111,AL,Randolph County,27,"41,112"
1113,AL,Russell County,34.8,"36,186"
1115,AL,St. Clair County,16.7,"52,755"
1117,AL,Shelby County,9,"74,098"
1119,AL,Sumter County,44.7,"26,495"
1121,AL,Talladega County,26,"41,733"
1123,AL,Tallapoosa County,27.3,"44,469"
1125,AL,Tuscaloosa County,19.9,"51,644"
1127,AL,Walker County,20.4,"41,925"
1129,AL,Washington County,27.2,"44,249"
1131,AL,Wilcox County,46.4,"25,700"
1133,AL,Winston County,27.1,"38,562"
2000,AK,Alaska,13.3,"74,058"
2013,AK,Aleutians East Borough,10.9,"69,375"
2016,AK,Aleutians West Census Area,7,"80,290"
2020,AK,Anchorage Borough,11.4,"78,579"
2050,AK,Bethel Census Area,34.4,"45,582"
2060,AK,Bristol Bay Borough,20.4,"70,094"
2068,AK,Denali Borough,8.6,"73,220"
2070,AK,Dillingham Census Area,30,"52,641"
2090,AK,Fairbanks North Star Borough,8.5,"74,241"
2100,AK,Haines Borough,17.1,"53,413"
2105,AK,Hoonah-Angoon Census Area,29,"50,573"
2110,AK,Juneau Borough,8.8,"90,436"
2122,AK,Kenai Peninsula Borough,12.4,"63,559"
2130,AK,Ketchikan Gateway Borough,11.7,"71,298"
2150,AK,Kodiak Island Borough,9.4,"71,118"
2158,AK,Kusilvak Census Area,44.3,"31,250"
2164,AK,Lake and Peninsula Borough,23,"47,644"
2170,AK,Matanuska-Susitna Borough,10.9,"72,296"
2180,AK,Nome Census Area,26.5,"53,877"
2185,AK,North Slope Borough,15,"82,736"
2188,AK,Northwest Arctic Borough,30.7,"53,060"
2195,AK,Petersburg Borough,9.1,"59,176"
2198,AK,Prince of Wales-Hyder Census Area,19.5,"46,488"
2220,AK,Sitka Borough,8.2,"69,501"
2230,AK,Skagway Municipality,9.3,"66,991"
2240,AK,Southeast Fairbanks Census Area,17.2,"59,382"
2261,AK,Valdez-Cordova Census Area,11.3,"86,196"
2275,AK,Wrangell City and Borough,16.5,"55,696"
2282,AK,Yakutat Borough,33.8,"59,955"
2290,AK,Yukon-Koyukuk Census Area,26,"37,907"
4000,AZ,Arizona,19.7,"56,508"
4001,AZ,Apache County,42,"33,053"
4003,AZ,Cochise County,23.5,"48,966"
4005,AZ,Coconino County,21.5,"54,399"
4007,AZ,Gila County,33.1,"38,897"
4009,AZ,Graham County,25.7,"46,378"
4011,AZ,Greenlee County,10.9,"63,557"
4012,AZ,La Paz County,33.4,"36,389"
4013,AZ,Maricopa County,18,"62,221"
4015,AZ,Mohave County,25.1,"42,210"
4017,AZ,Navajo County,31.9,"40,883"
4019,AZ,Pima County,20.7,"51,392"
4021,AZ,Pinal County,15.1,"53,114"
4023,AZ,Santa Cruz County,35.1,"39,265"
4025,AZ,Yavapai County,19.6,"49,860"
4027,AZ,Yuma County,27.5,"46,013"
5000,AR,Arkansas,21.2,"45,916"
5001,AR,Arkansas County,24.5,"43,752"
5003,AR,Ashley County,26.9,"40,495"
5005,AR,Baxter County,19.7,"43,011"
5007,AR,Benton County,10.9,"64,728"
5009,AR,Boone County,19.5,"41,770"
5011,AR,Bradley County,27,"35,950"
5013,AR,Calhoun County,19.9,"42,484"
5015,AR,Carroll County,24.1,"38,297"
5017,AR,Chicot County,38.9,"31,810"
5019,AR,Clark County,23.1,"40,536"
5021,AR,Clay County,23.9,"35,164"
5023,AR,Cleburne County,21.7,"43,170"
5025,AR,Cleveland County,18.7,"47,812"
5027,AR,Columbia County,34,"38,488"
5029,AR,Conway County,25.8,"43,519"
5031,AR,Craighead County,18.8,"49,355"
5033,AR,Crawford County,27.4,"44,850"
5035,AR,Crittenden County,30.3,"39,272"
5037,AR,Cross County,28.8,"41,661"
5039,AR,Dallas County,31.3,"33,739"
5041,AR,Desha County,37.5,"33,228"
5043,AR,Drew County,23.2,"41,339"
5045,AR,Faulkner County,13.8,"51,535"
5047,AR,Franklin County,23.8,"41,140"
5049,AR,Fulton County,26.1,"35,723"
5051,AR,Garland County,24.1,"44,662"
5053,AR,Grant County,14.8,"54,819"
5055,AR,Greene County,19.6,"46,029"
5057,AR,Hempstead County,32.6,"39,505"
5059,AR,Hot Spring County,21.4,"42,329"
5061,AR,Howard County,27.9,"36,744"
5063,AR,Independence County,21.5,"42,332"
5065,AR,Izard County,25.8,"37,958"
5067,AR,Jackson County,28.8,"36,235"
5069,AR,Jefferson County,33.2,"38,677"
5071,AR,Johnson County,22.5,"39,798"
5073,AR,Lafayette County,34,"33,378"
5075,AR,Lawrence County,24.7,"40,777"
5077,AR,Lee County,40.9,"28,875"
5079,AR,Lincoln County,24.3,"43,821"
5081,AR,Little River County,21.7,"42,063"
5083,AR,Logan County,29.3,"37,676"
5085,AR,Lonoke County,14.1,"54,378"
5087,AR,Madison County,24.2,"40,568"
5089,AR,Marion County,29.2,"39,539"
5091,AR,Miller County,28.7,"44,325"
5093,AR,Mississippi County,30.6,"39,678"
5095,AR,Monroe County,41.6,"32,427"
5097,AR,Montgomery County,34.3,"35,500"
5099,AR,Nevada County,27.5,"46,687"
5101,AR,Newton County,30.9,"34,036"
5103,AR,Ouachita County,25.9,"39,576"
5105,AR,Perry County,21.7,"44,118"
5107,AR,Phillips County,60.2,"27,663"
5109,AR,Pike County,24.2,"37,493"
5111,AR,Poinsett County,30.1,"39,778"
5113,AR,Polk County,33.1,"35,678"
5115,AR,Pope County,19.6,"45,803"
5117,AR,Prairie County,23,"43,139"
5119,AR,Pulaski County,18.8,"52,361"
5121,AR,Randolph County,24.2,"35,989"
5123,AR,St. Francis County,40.9,"31,561"
5125,AR,Saline County,10.2,"61,384"
5127,AR,Scott County,27.8,"33,354"
5129,AR,Searcy County,33.6,"30,640"
5131,AR,Sebastian County,23.2,"44,058"
5133,AR,Sevier County,27.8,"41,649"
5135,AR,Sharp County,35.4,"34,266"
5137,AR,Stone County,31.9,"32,778"
5139,AR,Union County,24.9,"43,827"
5141,AR,Van Buren County,25.6,"36,244"
5143,AR,Washington County,15.7,"50,400"
5145,AR,White County,20,"44,088"
5147,AR,Woodruff County,35.1,"32,271"
5149,AR,Yell County,25.6,"40,325"
6000,CA,California,17.4,"71,785"
6001,CA,Alameda County,10.1,"95,550"
6003,CA,Alpine County,28.7,"55,755"
6005,CA,Amador County,15.2,"60,588"
6007,CA,Butte County,21.2,"48,634"
6009,CA,Calaveras County,20.9,"58,536"
6011,CA,Colusa County,14.9,"53,595"
6013,CA,Contra Costa County,10.3,"95,062"
6015,CA,Del Norte County,32.5,"39,996"
6017,CA,El Dorado County,8.8,"78,464"
6019,CA,Fresno County,26.7,"51,452"
6021,CA,Glenn County,19.8,"49,979"
6023,CA,Humboldt County,22.9,"46,123"
6025,CA,Imperial County,26.7,"43,413"
6027,CA,Inyo County,17.1,"53,528"
6029,CA,Kern County,27.2,"49,904"
6031,CA,Kings County,24.4,"55,076"
6033,CA,Lake County,29.9,"45,797"
6035,CA,Lassen County,17.6,"58,776"
6037,CA,Los Angeles County,20.4,"64,912"
6039,CA,Madera County,27.4,"50,783"
6041,CA,Marin County,7.3,"112,735"
