FIPStxt,State,Area_name,Unemployment_rate_2017
0,US,United States,4.4
1000,AL,Alabama,4.4
1001,AL,"Autauga County, AL",3.9
1003,AL,"Baldwin County, AL",4
1005,AL,"Barbour County, AL",5.9
1007,AL,"Bibb County, AL",4.4
1009,AL,"Blount County, AL",4
1011,AL,"Bullock County, AL",4.9
1013,AL,"Butler County, AL",5.5
1015,AL,"Calhoun County, AL",4.9
1017,AL,"Chambers County, AL",4.1
1019,AL,"Cherokee County, AL",4.1
1021,AL,"Chilton County, AL",4
1023,AL,"Choctaw County, AL",6.4
1025,AL,"Clarke County, AL",8.5
1027,AL,"Clay County, AL",4.4
1029,AL,"Cleburne County, AL",4.5
1031,AL,"Coffee County, AL",4.4
1033,AL,"Colbert County, AL",5.2
1035,AL,"Conecuh County, AL",6.1
1037,AL,"Coosa County, AL",4.6
1039,AL,"Covington County, AL",5.2
1041,AL,"Crenshaw County, AL",4.5
1043,AL,"Cullman County, AL",3.7
1045,AL,"Dale County, AL",4.4
1047,AL,"Dallas County, AL",7.5
1049,AL,"DeKalb County, AL",4.5
1051,AL,"Elmore County, AL",3.6
1053,AL,"Escambia County, AL",5
1055,AL,"Etowah County, AL",4.6
1057,AL,"Fayette County, AL",4.7
1059,AL,"Franklin County, AL",4.2
1061,AL,"Geneva County, AL",4.3
1063,AL,"Greene County, AL",7.7
1065,AL,"Hale County, AL",5.9
1067,AL,"Henry County, AL",4.9
1069,AL,"Houston County, AL",4.3
1071,AL,"Jackson County, AL",4.8
1073,AL,"Jefferson County, AL",4.2
1075,AL,"Lamar County, AL",4.2
1077,AL,"Lauderdale County, AL",4.6
1079,AL,"Lawrence County, AL",4.9
1081,AL,"Lee County, AL",3.9
1083,AL,"Limestone County, AL",4
1085,AL,"Lowndes County, AL",8
1087,AL,"Macon County, AL",5.8
1089,AL,"Madison County, AL",3.8
1091,AL,"Marengo County, AL",5.7
1093,AL,"Marion County, AL",4.8
1095,AL,"Marshall County, AL",3.8
1097,AL,"Mobile County, AL",5.2
1099,AL,"Monroe County, AL",6.7
1101,AL,"Montgomery County, AL",4.3
1103,AL,"Morgan County, AL",4.1
1105,AL,"Perry County, AL",7.9
1107,AL,"Pickens County, AL",5.3
1109,AL,"Pike County, AL",4.9
1111,AL,"Randolph County, AL",4.4
1113,AL,"Russell County, AL",4.3
1115,AL,"St. Clair County, AL",4
1117,AL,"Shelby County, AL",3.2
1119,AL,"Sumter County, AL",6.5
1121,AL,"Talladega County, AL",5
1123,AL,"Tallapoosa County, AL",4.2
1125,AL,"Tuscaloosa County, AL",4.1
1127,AL,"Walker County, AL",5
1129,AL,"Washington County, AL",6.8
1131,AL,"Wilcox County, AL",11.4
1133,AL,"Winston County, AL",5
2000,AK,Alaska,7.2
2013,AK,"Aleutians East Borough, AK",2.5
2016,AK,"Aleutians West Census Area, AK",3.6
2020,AK,"Anchorage Borough/municipality, AK",6
2050,AK,"Bethel Census Area, AK",13.8
